lang	n_samples	supported	precision	recall	f1	tp	fp	fn
slv	0	no	0.0000	0.0000	0.0000	0	364	0
sme	0	no	0.0000	0.0000	0.0000	0	14	0
sml	0	no	0.0000	0.0000	0.0000	0	1	0
smn	0	no	0.0000	0.0000	0.0000	0	1	0
smo	0	no	0.0000	0.0000	0.0000	0	19	0
sms	0	no	0.0000	0.0000	0.0000	0	3	0
snd	0	no	0.0000	0.0000	0.0000	0	14	0
som	0	no	0.0000	0.0000	0.0000	0	64	0
srd	0	no	0.0000	0.0000	0.0000	0	454	0
srn	0	no	0.0000	0.0000	0.0000	0	4	0
srp	0	no	0.0000	0.0000	0.0000	0	16	0
ssw	0	no	0.0000	0.0000	0.0000	0	21	0
sun	0	no	0.0000	0.0000	0.0000	0	107	0
suz	0	no	0.0000	0.0000	0.0000	0	1	0
swb	0	no	0.0000	0.0000	0.0000	0	1	0
swc	0	no	0.0000	0.0000	0.0000	0	1002	0
swe	0	no	0.0000	0.0000	0.0000	0	445	0
swg	0	no	0.0000	0.0000	0.0000	0	1	0
swp	0	no	0.0000	0.0000	0.0000	0	1	0
sxn	0	no	0.0000	0.0000	0.0000	0	7	0
syl	0	no	0.0000	0.0000	0.0000	0	1	0
szl	0	no	0.0000	0.0000	0.0000	0	10	0
szy	0	no	0.0000	0.0000	0.0000	0	2	0
tah	0	no	0.0000	0.0000	0.0000	0	1	0
taq	0	no	0.0000	0.0000	0.0000	0	3	0
tar	0	no	0.0000	0.0000	0.0000	0	18	0
tcc	0	no	0.0000	0.0000	0.0000	0	1	0
tcs	0	no	0.0000	0.0000	0.0000	0	2	0
tcy	0	no	0.0000	0.0000	0.0000	0	12	0
tcz	0	no	0.0000	0.0000	0.0000	0	2	0
tdt	0	no	0.0000	0.0000	0.0000	0	13	0
tdx	0	no	0.0000	0.0000	0.0000	0	8	0
teo	0	no	0.0000	0.0000	0.0000	0	1	0
tet	0	no	0.0000	0.0000	0.0000	0	1	0
tgk	0	no	0.0000	0.0000	0.0000	0	40	0
thk	0	no	0.0000	0.0000	0.0000	0	3	0
tig	0	no	0.0000	0.0000	0.0000	0	2	0
tir	0	no	0.0000	0.0000	0.0000	0	29	0
tiv	0	no	0.0000	0.0000	0.0000	0	3	0
tlh	0	no	0.0000	0.0000	0.0000	0	2	0
tll	0	no	0.0000	0.0000	0.0000	0	2	0
tly	0	no	0.0000	0.0000	0.0000	0	1	0
tog	0	no	0.0000	0.0000	0.0000	0	3	0
toh	0	no	0.0000	0.0000	0.0000	0	1	0
toi	0	no	0.0000	0.0000	0.0000	0	3	0
toj	0	no	0.0000	0.0000	0.0000	0	1	0
ton	0	no	0.0000	0.0000	0.0000	0	1	0
tpa	0	no	0.0000	0.0000	0.0000	0	1	0
tpi	0	no	0.0000	0.0000	0.0000	0	57	0
tpn	0	no	0.0000	0.0000	0.0000	0	1	0
trv	0	no	0.0000	0.0000	0.0000	0	5	0
tsc	0	no	0.0000	0.0000	0.0000	0	1	0
tsn	0	no	0.0000	0.0000	0.0000	0	43	0
tso	0	no	0.0000	0.0000	0.0000	0	18	0
tsz	0	no	0.0000	0.0000	0.0000	0	1	0
ttj	0	no	0.0000	0.0000	0.0000	0	8	0
tum	0	no	0.0000	0.0000	0.0000	0	18	0
tvl	0	no	0.0000	0.0000	0.0000	0	1	0
twi	0	no	0.0000	0.0000	0.0000	0	20	0
twx	0	no	0.0000	0.0000	0.0000	0	4	0
udm	0	no	0.0000	0.0000	0.0000	0	3	0
uig	0	no	0.0000	0.0000	0.0000	0	141	0
umb	0	no	0.0000	0.0000	0.0000	0	26	0
urb	0	no	0.0000	0.0000	0.0000	0	1	0
urh	0	no	0.0000	0.0000	0.0000	0	1	0
uzn	0	no	0.0000	0.0000	0.0000	0	41174	0
ven	0	no	0.0000	0.0000	0.0000	0	6	0
vls	0	no	0.0000	0.0000	0.0000	0	3	0
vmw	0	no	0.0000	0.0000	0.0000	0	1	0
vol	0	no	0.0000	0.0000	0.0000	0	2	0
vro	0	no	0.0000	0.0000	0.0000	0	3	0
wal	0	no	0.0000	0.0000	0.0000	0	2	0
war	0	no	0.0000	0.0000	0.0000	0	25	0
wed	0	no	0.0000	0.0000	0.0000	0	1	0
wes	0	no	0.0000	0.0000	0.0000	0	14	0
wln	0	no	0.0000	0.0000	0.0000	0	4	0
wls	0	no	0.0000	0.0000	0.0000	0	1	0
wol	0	no	0.0000	0.0000	0.0000	0	94	0
xav	0	no	0.0000	0.0000	0.0000	0	4	0
xed	0	no	0.0000	0.0000	0.0000	0	1	0
xmv	0	no	0.0000	0.0000	0.0000	0	35	0
yao	0	no	0.0000	0.0000	0.0000	0	3	0
yap	0	no	0.0000	0.0000	0.0000	0	3	0
yaz	0	no	0.0000	0.0000	0.0000	0	1	0
yby	0	no	0.0000	0.0000	0.0000	0	1	0
ydd	0	no	0.0000	0.0000	0.0000	0	4	0
yka	0	no	0.0000	0.0000	0.0000	0	1	0
yua	0	no	0.0000	0.0000	0.0000	0	6	0
zai	0	no	0.0000	0.0000	0.0000	0	1	0
zea	0	no	0.0000	0.0000	0.0000	0	2	0
zgh	0	no	0.0000	0.0000	0.0000	0	1	0
zne	0	no	0.0000	0.0000	0.0000	0	3	0
zom	0	no	0.0000	0.0000	0.0000	0	6	0
zpa	0	no	0.0000	0.0000	0.0000	0	1	0
zxx	0	no	0.0000	0.0000	0.0000	0	946	0
