lang	n_samples	supported	precision	recall	f1	tp	fp	fn
fur	0	no	0.0000	0.0000	0.0000	0	149	0
glg	0	no	0.0000	0.0000	0.0000	0	373	0
hat	0	no	0.0000	0.0000	0.0000	0	1028	0
hne	0	no	0.0000	0.0000	0.0000	0	1117	0
hrv	0	no	0.0000	0.0000	0.0000	0	260	0
hun	0	no	0.0000	0.0000	0.0000	0	582	0
ilo	0	no	0.0000	0.0000	0.0000	0	221	0
isl	0	no	0.0000	0.0000	0.0000	0	14	0
kac	0	no	0.0000	0.0000	0.0000	0	1	0
kam	0	no	0.0000	0.0000	0.0000	0	1	0
kas	0	no	0.0000	0.0000	0.0000	0	4	0
kaz	0	no	0.0000	0.0000	0.0000	0	29	0
kbp	0	no	0.0000	0.0000	0.0000	0	5	0
kea	0	no	0.0000	0.0000	0.0000	0	11	0
khk	0	no	0.0000	0.0000	0.0000	0	2	0
kin	0	no	0.0000	0.0000	0.0000	0	302	0
kir	0	no	0.0000	0.0000	0.0000	0	39	0
kmb	0	no	0.0000	0.0000	0.0000	0	2	0
knc	0	no	0.0000	0.0000	0.0000	0	5	0
ktu	0	no	0.0000	0.0000	0.0000	0	20	0
lim	0	no	0.0000	0.0000	0.0000	0	741	0
lit	0	no	0.0000	0.0000	0.0000	0	229	0
lmo	0	no	0.0000	0.0000	0.0000	0	102	0
ltz	0	no	0.0000	0.0000	0.0000	0	93	0
lua	0	no	0.0000	0.0000	0.0000	0	13	0
luo	0	no	0.0000	0.0000	0.0000	0	5	0
lus	0	no	0.0000	0.0000	0.0000	0	9	0
mag	0	no	0.0000	0.0000	0.0000	0	4	0
mai	0	no	0.0000	0.0000	0.0000	0	40	0
min	0	no	0.0000	0.0000	0.0000	0	146	0
mkd	0	no	0.0000	0.0000	0.0000	0	12	0
mlt	0	no	0.0000	0.0000	0.0000	0	714	0
mni	0	no	0.0000	0.0000	0.0000	0	1	0
mos	0	no	0.0000	0.0000	0.0000	0	10	0
mri	0	no	0.0000	0.0000	0.0000	0	19	0
mya	0	no	0.0000	0.0000	0.0000	0	17	0
nno	0	no	0.0000	0.0000	0.0000	0	435	0
nob	0	no	0.0000	0.0000	0.0000	0	174	0
npi	0	no	0.0000	0.0000	0.0000	0	10	0
nya	0	no	0.0000	0.0000	0.0000	0	65	0
pag	0	no	0.0000	0.0000	0.0000	0	121	0
pap	0	no	0.0000	0.0000	0.0000	0	111	0
pbt	0	no	0.0000	0.0000	0.0000	0	2	0
plt	0	no	0.0000	0.0000	0.0000	0	1902	0
quy	0	no	0.0000	0.0000	0.0000	0	98	0
ron	0	no	0.0000	0.0000	0.0000	0	57	0
run	0	no	0.0000	0.0000	0.0000	0	40	0
sag	0	no	0.0000	0.0000	0.0000	0	15	0
scn	0	no	0.0000	0.0000	0.0000	0	67	0
shn	0	no	0.0000	0.0000	0.0000	0	3	0
slk	0	no	0.0000	0.0000	0.0000	0	257	0
slv	0	no	0.0000	0.0000	0.0000	0	503	0
smo	0	no	0.0000	0.0000	0.0000	0	6	0
snd	0	no	0.0000	0.0000	0.0000	0	5	0
som	0	no	0.0000	0.0000	0.0000	0	50	0
srd	0	no	0.0000	0.0000	0.0000	0	537	0
srp	0	no	0.0000	0.0000	0.0000	0	30	0
ssw	0	no	0.0000	0.0000	0.0000	0	86	0
sun	0	no	0.0000	0.0000	0.0000	0	317	0
swe	0	no	0.0000	0.0000	0.0000	0	833	0
szl	0	no	0.0000	0.0000	0.0000	0	13	0
taq	0	no	0.0000	0.0000	0.0000	0	6	0
tgk	0	no	0.0000	0.0000	0.0000	0	101	0
tir	0	no	0.0000	0.0000	0.0000	0	26	0
tpi	0	no	0.0000	0.0000	0.0000	0	19	0
tsn	0	no	0.0000	0.0000	0.0000	0	55	0
tso	0	no	0.0000	0.0000	0.0000	0	20	0
tum	0	no	0.0000	0.0000	0.0000	0	15	0
twi	0	no	0.0000	0.0000	0.0000	0	18	0
umb	0	no	0.0000	0.0000	0.0000	0	5	0
uzn	0	no	0.0000	0.0000	0.0000	0	40564	0
war	0	no	0.0000	0.0000	0.0000	0	351	0
wol	0	no	0.0000	0.0000	0.0000	0	109	0
ydd	0	no	0.0000	0.0000	0.0000	0	2	0
zxx	0	no	0.0000	0.0000	0.0000	0	10218	0
